PhraseId	SentenceId	Phrase	Sentiment
1 	2 	"This quiet , introspective and entertaining independent is worth seeking ."	1 
2 	2 	"quiet , introspective and entertaining independent"	1 
3 	2 	entertaining	1 
1 	2 	is worth seeking	1 
5 	3 	would have a hard time sitting through this one	0 
6 	3 	have a hard time sitting through this one	0 
7 	1 	"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera"	1 
8 	1 	"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder"	1 
9 	1 	thrilling	1 
10 	5 	Aggressive self-glorification and a manipulative whitewash	0 
11 	5 	self-glorification and a manipulative whitewash	0 
12 	6 	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	1 
13 	6 	nearly epic	1 
11 	6 	rooted in a sincere performance by the title character undergoing midlife crisis .	1 
15 	6 	in a sincere performance	1 
16 	6 	a sincere performance	1 
17 	6 	sincere performance	1 
18 	7 	Trouble Every Day is a plodding mess .	0 
19 	7 	is a plodding mess	0 
20 	7 	plodding mess	0 
21 	10 	could hate it for the same reason	0 
22 	10 	hate it	0 
23 	10 	hate	0 
21 	11 	recommend Snow Dogs	1 
25 	11 	high hilarity	1 
26 	12 	"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that"	0 
27 	13 	The performances are an absolute joy .	1 
28 	13 	are an absolute joy .	1 
29 	13 	an absolute joy	1 
30 	13 	joy	1 
31 	11 	extravagant	1 
32 	15 	better	1 
33 	16 	baseball movies that try too hard to be mythic	0 
31 	16 	this one is a sweet and modest and ultimately winning story .	1 
35 	16 	is a sweet and modest and ultimately winning story .	1 
36 	16 	a sweet and modest	1 
37 	16 	sweet	1 
38 	16 	ultimately winning story	1 
39 	18 	dizzily gorgeous	1 
10 	18 	Love -- very much	1 
11 	18 	Love	1 
12 	21 	"Best indie of the year , so far ."	1 
13 	21 	Best	1 
11 	21 	"indie of the year , so far"	1 
15 	26 	impeccable	1 
16 	30 	well-constructed narrative	1 
17 	32 	"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire ."	0 
18 	32 	a self-indulgent script	0 
19 	33 	the first computer-generated feature cartoon to feel like other movies	1 
50 	31 	"There 's very little sense to what 's going on here ,"	0 
51 	35 	"the runaway success of his first film , The Full Monty ,"	1 
52 	35 	the runaway success	1 
53 	36 	avoid	0 
51 	37 	almost feels as if the movie is more interested in entertaining itself than in amusing us .	0 
55 	37 	amusing	1 
56 	38 	The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . '	0 
57 	38 	The movie 's progression into rambling incoherence	0 
58 	38 	gives new meaning to the phrase ` fatal script error . '	0 
59 	38 	` fatal script error	0 
60 	38 	fatal script error	0 
61 	10 	young romantics	1 
62 	11 	"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality ."	0 
63 	11 	of narrative banality	0 
61 	12 	bad	0 
65 	13 	"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride ."	1 
66 	13 	", then They works spectacularly well ... A shiver-inducing , nerve-rattling ride ."	1 
67 	13 	"then They works spectacularly well ... A shiver-inducing , nerve-rattling ride ."	1 
68 	13 	"They works spectacularly well ... A shiver-inducing , nerve-rattling ride ."	1 
69 	13 	"works spectacularly well ... A shiver-inducing , nerve-rattling ride ."	1 
70 	13 	"works spectacularly well ... A shiver-inducing , nerve-rattling ride"	1 
71 	13 	spectacularly well	1 
72 	13 	spectacularly	1 
73 	16 	the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB-	1 
71 	16 	sensational true-crime	1 
75 	16 	sensational	1 
76 	17 	satisfying	1 
77 	18 	"'m sure the filmmaker would disagree , but , honestly , I do n't see the point"	0 
78 	18 	"honestly , I do n't see the point"	0 
79 	19 	Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .	1 
80 	19 	has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .	1 
81 	19 	tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers	1 
82 	19 	drawn engaging characters	1 
83 	19 	engaging	1 
81 	19 	memorable	1 
85 	50 	"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made ."	1 
86 	50 	"has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made ."	1 
87 	50 	"has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made"	1 
88 	50 	"the grace to call for prevention rather than to place blame , making it one of the best war movies ever made"	1 
89 	50 	"grace to call for prevention rather than to place blame , making it one of the best war movies ever made"	1 
90 	50 	"to call for prevention rather than to place blame , making it one of the best war movies ever made"	1 
91 	50 	"call for prevention rather than to place blame , making it one of the best war movies ever made"	1 
92 	50 	making it one of the best war movies ever made	1 
93 	50 	it one of the best war movies ever made	1 
91 	50 	one of the best war movies ever made	1 
95 	50 	of the best war movies ever made	1 
96 	50 	the best war movies ever made	1 
97 	50 	best war movies	1 
98 	51 	clunky TV-movie approach	0 
99 	53 	"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film ."	0 
100 	53 	the rest is just an overexposed waste of film	0 
101 	53 	is just an overexposed waste of film	0 
102 	53 	an overexposed waste of film	0 
103 	53 	an overexposed waste	0 
101 	51 	"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible ."	0 
105 	51 	"as a relic from a bygone era , and its convolutions ... feel silly rather than plausible"	0 
106 	55 	"Perhaps it 's cliche to call the film ` refreshing , ' but it is ."	1 
107 	55 	"Perhaps it 's cliche to call the film ` refreshing , ' but it is"	1 
108 	55 	` refreshing	1 
109 	56 	Both lead performances are Oscar-size .	1 
110 	57 	Run for your lives !	0 
111 	57 	Run for your lives	0 
112 	60 	a smart new comedy	1 
113 	60 	smart new comedy	1 
111 	60 	smart	1 
115 	61 	makes your teeth hurt	0 
116 	63 	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered	0 
117 	63 	Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and	0 
118 	65 	impressed	1 
119 	65 	good fun	1 
120 	65 	fun	1 
121 	66 	Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .	0 
122 	66 	is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .	0 
123 	66 	is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating	0 
121 	66 	is the script 's endless assault of embarrassingly ham-fisted sex jokes	0 
125 	66 	endless assault	0 
126 	66 	embarrassingly ham-fisted sex jokes	0 
127 	67 	"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic ."	1 
